Data,Titulo,Taxa de Abertura (%),Aberturas Unicas,Nota Media,Votos
08/12/2025,Eu prefiro ser feliz do que tentar ser f@d@!,37.0,164482,4.31,115
01/12/2025,[22] Pra quem quer ter “Atitude de Dono”!,39.4,103657,4.73,55
24/11/2025,"[21] Num mundo de incerteza, não existe “certeza”.",40.8,108212,4.32,71
10/11/2025,O Fundador e (ou) Executivo,44.6,121864,4.46,71
03/11/2025,Descobri o único diferencial que a IA não toca.,40.0,34702,4.65,17
27/10/2025,Ninguém fala sobre isso.,43.0,37358,4.62,37
20/10/2025,Cuidado: trabalhar demais empobrece,44.3,38579,4.94,31
13/10/2025,"35 lições, nenhum clichê.",43.9,38472,4.66,41
06/10/2025,Ninguém vai lembrar de você.,44.2,39043,4.73,30
29/09/2025,O maior erro é não se mover.,40.9,36270,4.68,25
22/09/2025,E se o maior risco for não decidir?,40.8,36358,4.65,52
15/09/2025,Quando não saber é poder. ,43.5,39070,4.8,45
08/09/2025,Dúvida que a sua ignorância é a sua maior força?,45.2,41078,4.71,31
01/09/2025,E-mail do Rony vs 30 que você não vai abrir.,42.0,38528,4.75,63
29/08/2025,Você foi selecionado.,42.6,21838,4.68,47
25/08/2025,O que ninguém te contou (ainda).,43.5,21085,4.44,34
18/08/2025,7 hábitos que te f&@em !!!,34.6,16940,4.05,21
14/08/2025,Você foi selecionado.,48.2,20634,4.54,37
04/08/2025,Hoje é seu dia de sorte.,39.3,3579,5.0,12
28/07/2025,Esse e-mail não vai se repetir.,35.4,3254,4.8,5
21/07/2025,Você foi selecionado.,44.1,4092,4.5,10
